timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701925647099,327,HTTP Request,503,Service Unavailable,Thread Group 1-2,text,false,,7616,118,3,3,https://www.amazon.in/,327,0,175
1701925646839,781,HTTP Request,200,OK,Thread Group 1-1,text,true,,44836,118,4,4,https://www.amazon.in/,505,0,229
1701925647621,214,HTTP Request,503,Service Unavailable,Thread Group 1-1,text,false,,7616,118,4,4,https://www.amazon.in/,189,0,0
1701925647426,526,HTTP Request,200,OK,Thread Group 1-2,text,true,,42312,118,4,4,https://www.amazon.in/,307,0,0
1701925647593,359,HTTP Request,503,Service Unavailable,Thread Group 1-4,text,false,,7616,118,4,4,https://www.amazon.in/,359,0,127
1701925647346,607,HTTP Request,200,OK,Thread Group 1-3,text,true,,44821,118,4,4,https://www.amazon.in/,346,0,105
1701925647839,591,HTTP Request,200,OK,Thread Group 1-5,text,true,,42367,118,3,3,https://www.amazon.in/,452,0,185
1701925647953,482,HTTP Request,200,OK,Thread Group 1-4,text,true,,42345,118,3,3,https://www.amazon.in/,213,0,0
1701925647953,483,HTTP Request,200,OK,Thread Group 1-3,text,true,,44828,118,3,3,https://www.amazon.in/,213,0,0
1701925648430,487,HTTP Request,200,OK,Thread Group 1-5,text,true,,42324,118,1,1,https://www.amazon.in/,273,0,0
